objectid,File Name,Title,Contributor,creator,creator,date,description,format,Language,publisher,relation,rights,subject,subject,subject,Coverage,type,Source
donnacollier001,coll_hrc_001.jpg,Men Kayakying through Floodwaters,,Collier County,,1960-09,Two men kayaking in front of a partially submerged house after Hurricane Donna hit. ,4x6 inch prints,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""4"" width=""6"" alt=""In Copyright - Educational Use Permitted"" /><a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted</a>","Hurricane Donna, 1960;Storm surges;Natural disasters",Collier County (Fla.),StillImage,Collier County Hurricanes Collection
donnacollier002,coll_hrc_002.jpg,Storm Surge after Hurricane Donna,,Collier County,,1960-09,"Part of a city in Collier County destroyed by flooding, with trees and houses under the water. ",4x6 inch prints,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""4"" width=""6"" alt=""In Copyright - Educational Use Permitted"" /><a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted</a>","Hurricane Donna, 1960;Storm surges;Natural disasters",Collier County (Fla.),StillImage,Collier County Hurricanes Collection
donnacollier003,coll_hrc_003.jpg,Houses Partially Submerged in Floodwater,,Collier County,,1960-09,The aftermath of Hurricane Donna on a small neighborhood in Collier County. The storm surge goes up to people's porches. ,4x6 inch prints,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""4"" width=""6"" alt=""In Copyright - Educational Use Permitted"" /><a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted</a>","Hurricane Donna, 1960;Storm surges;Natural disasters",Collier County (Fla.),StillImage,Collier County Hurricanes Collection
donnacollier004,coll_hrc_004.jpg,Aerial Shot of a Collier County City,,Collier County,,1960s,"A view of Collier County around the time that Hurricane Donna hit. It features small neighborhoods, the beach, and the ocean. ",4x6 inch prints,,,,"<img src=""https://rightsstatements.org/files/icons/InC.Icon-Only.dark.svg"" height=""4"" width=""6"" alt=""In Copyright - Educational Use Permitted"" /><a href=""https://rightsstatements.org/vocab/InC-EDU/1.0/""> In Copyright - Educational Use Permitted</a>","United States--Aerial views;Hurricane damage;Hurricane Donna, 1960",Collier County (Fla.),StillImage,Collier County Hurricanes Collection
donnacollier005,coll_hrc_005.pdf,Fort Myers Newspapers,,Fort Myers News-Press,,1960-09,"Fort Myers News-Press covering before Hurricane Donna hit, as well as the aftermath. ",2 pgs.,eng,Fort Myers News-Press,,,"Hurricane Donna, 1960;Hurricane damage;Natural disasters",Fort Myers (Fla.),Text,Collier County Hurricanes Collection
donnacollier006,coll_hrc_006.pdf,Florida Health Notes,,Florida State Board of Health,,1961-04,"Volume 54, Issue 4 on Hurricane Donna. The news report looks at different areas affected and some problems that arose after the storm. ",6 pgs.,eng,Florida Health Notes,,,"Hurricane Donna, 1960;Natural disasters;Newspapers",Florida,Text,Collier County Hurricanes Collection
donnacollier007,coll_hrc_007.pdf,"""It's an Ill Wind That Blows No One a Good Case of Scotch""",,Collier County,,1960s,A story about a man and a case of Scotch during Hurricane Donna.,1 pg.,eng,,,,"Hurricane Donna, 1960;Natural disasters;Short story",Collier County (Fla.),Text,Collier County Hurricanes Collection
donnacollier008,coll_hrc_008.pdf,Statements Warning about Hurricane Donna,,Collier County,,1960-09,Reports from the Miami Hurricane Center and Collier County Sheriff Doug Henry providing evacuation information and precautions for the hurricane.,1 pg.,eng,,,,"Hurricane Donna, 1960;Evacuation of civilians;Sheriffs",Collier County (Fla.),Text,Collier County Hurricanes Collection
donnacollier009,coll_hrc_009.pdf,List of Hurricanes that Directly Affected Collier County,,Collier County,,1960s,"Hurricanes from 1873-1960 are listed, containing a description of photographs from the 1926 and 1960 hurricanes. Also includes the damages from the storms.",2 pgs.,eng,,,,"Hurricane Donna, 1960;Natural disasters;Hurricane damage",Collier County (Fla.),Text,Collier County Hurricanes Collection
donnacollier010,coll_hrc_010.pdf,"""Donna Was the Worst Storm We Ever Had""",,Collier County,,1960-1961,"A descriptive report about the stories from Hurricane Donna, including quotes, individual experiences, and details of damages.",6 pgs.,eng,,,,"Hurricane Donna, 1960;Natural disasters;Hurricane effects",Collier County (Fla.),Text,Collier County Hurricanes Collection


